Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
1,LSK Kvinner,22,15,5,2,51,18,33,50,339,"Guro Reiten, Elise Thorsnes - 12",Cecilie Fiskerstrand
2,Vålerenga,22,14,4,4,41,24,17,46,489,"Natasha Dowie, Ajara Nchout - 11",Hannah Seabert
3,Klepp,22,14,2,6,48,19,29,44,260,"Havana Solaun, Tameka Butt - 10",Lindsey Harris
4,Sandviken,22,12,4,6,43,32,11,40,465,Kennya Cordner - 17,Nora Neset Gjøen
5,Avaldsnes,22,9,7,6,40,33,7,34,172,Giovanna - 9,Victoria Esson
6,Røa,22,7,8,7,40,35,5,29,305,Synne Jensen - 16,Kirvil Schau Odden
7,Trondheims-Ørn,22,8,5,9,26,22,4,29,264,Marit Clausen - 9,Kristine Nøstmo
8,Kolbotn,22,7,6,9,35,39,-4,27,167,Isabell Herlovsen - 8,Aurora Mikalsen
9,Arna-Bjørnar,22,6,5,11,26,41,-15,23,295,Milica Mijatović - 7,Oda Bogstad
10,Lyn,22,4,8,10,23,37,-14,20,191,Runa Lillegård - 10,Karen Oline Sneve
11,Stabæk,22,3,4,15,16,43,-27,13,180,Melissa Bjånesøy - 9,Ingrid Hjelmseth
12,Fart,22,2,4,16,14,60,-46,10,236,Julie Blakstad - 4,Lena Lauve
